date,link,text
2019-10-28 13:14,https://philadelphia.craigslist.org/egr/d/philadelphia-architectural-draftsperson/7008780991.html,Architectural Draftsperson
2019-10-23 10:41,https://philadelphia.craigslist.org/egr/d/newtown-square-hiring-now-store-design/7005313142.html, HIRING NOW: Store Design/Architect Manager 
2019-10-23 09:13,https://philadelphia.craigslist.org/egr/d/flourtown-heavy-highway-estimator/7005248424.html,Heavy / Highway Estimator
2019-10-23 09:08,https://philadelphia.craigslist.org/egr/d/philadelphia-wood-cnc-programmer/7005245522.html,Wood CNC Programmer / Operator
2019-10-21 12:13,https://philadelphia.craigslist.org/egr/d/egg-harbor-township-estimating/7003880620.html,Estimating Employment Opportunity
2019-11-13 11:34,https://southjersey.craigslist.org/egr/d/astoria-junior-architect-for-estimating/7019263586.html,Junior Architect (For Estimating Dept.)
2019-11-06 16:09,https://southjersey.craigslist.org/egr/d/burlington-hvac-project-manager/7014985887.html,HVAC Project Manager
2019-10-31 17:11,https://southjersey.craigslist.org/egr/d/palos-verdes-peninsula-instrument-person/7011050494.html,Instrument Person
2019-10-28 13:18,https://southjersey.craigslist.org/egr/d/feasterville-trevose-architectural/7008784980.html,Architectural Draftsperson
2019-10-24 13:48,https://southjersey.craigslist.org/egr/d/stratford-land-survey-trainee-field/7006210488.html,Land Survey Trainee - Field/Office Help
2019-10-21 12:11,https://southjersey.craigslist.org/egr/d/egg-harbor-township-estimating/7003878473.html,Estimating Employment Opportunity
2019-11-18 12:53,https://cnj.craigslist.org/egr/d/trenton-structural-engineer/7022475280.html,Structural Engineer
2019-11-14 21:09,https://cnj.craigslist.org/egr/d/east-orange-electricians-hiring-today/7020312242.html,Electricians hiring today
2019-11-11 19:28,https://cnj.craigslist.org/egr/d/princeton-job-fair/7018291980.html,JOB FAIR
2019-11-11 14:19,https://cnj.craigslist.org/egr/d/iselin-junior-architect/7018064387.html,Junior Architect
2019-11-11 14:01,https://cnj.craigslist.org/egr/d/middlesex-applications-engineering/7018048617.html,Applications Engineering Assistant
2019-11-11 11:38,https://cnj.craigslist.org/egr/d/richboro-civil-engineer/7017917638.html,civil engineer
2019-11-11 10:30,https://cnj.craigslist.org/egr/d/mechanical-industrial-civil-engineer/7017860507.html,Mechanical/Industrial/Civil Engineer
2019-11-07 10:28,https://cnj.craigslist.org/egr/d/mountainside-asst-project-manager/7015367764.html,Asst. Project Manager
2019-11-07 10:16,https://cnj.craigslist.org/egr/d/asbury-park-civil-engineer-municipal/7015359598.html,Civil Engineer (municipal)
2019-11-06 16:12,https://cnj.craigslist.org/egr/d/burlington-hvac-project-manager/7014987967.html,HVAC Project Manager
2019-11-01 16:19,https://cnj.craigslist.org/egr/d/north-brunswick-chemist-and-workers/7011651754.html,CHEMIST and Workers -IMMEDIATE HIRE
2019-10-31 20:37,https://cnj.craigslist.org/egr/d/green-construction-architectural-aide/7011155556.html,Green Construction: Architectural Aide***
2019-10-31 15:51,https://cnj.craigslist.org/egr/d/old-bridge-admin-accounting/7010994293.html,Admin /accounting
